Tier,City,Household Load kWh/year,PV Size kW,Battery Size kWh,PV Yield kWh/kW/year,Annual PV Generation kWh,PV Used by Household kWh,Grid Import kWh,Grid Export kWh,Self Consumption Ratio %,Self Sufficiency Ratio %,Peak Grid Reduction Proxy kWh/year,System Cost EUR,Annual Net Benefit EUR,Payback Years,NPV EUR,LCOE Proxy EUR/kWh,CO2 Savings kg/year,Lifetime CO2 Savings tonnes,CO2 Savings tonnes per EUR,Battery Final Health,Battery Replacement Year
Tier 2,Freiburg,4200,7,8,1150,8050,4200.0,0.0,3850.0,52.17,100.0,924.0,14300,1761.0,8.12,5279.48,0.118,1596.0,23.94,0.001674,0.625,12.0
Tier 2,Freiburg,4200,7,10,1150,8050,4200.0,0.0,3850.0,52.17,100.0,1155.0,15600,1748.0,8.92,3834.94,0.129,1596.0,23.94,0.001535,0.625,12.0
Tier 2,Freiburg,4200,7,12,1150,8050,4200.0,0.0,3850.0,52.17,100.0,1386.0,16900,1735.0,9.74,2390.4,0.14,1596.0,23.94,0.001417,0.625,12.0
Tier 2,Freiburg,4200,10,0,1150,11500,4025.0,175.0,7475.0,35.0,95.83,0.0,13000,1997.5,6.51,9208.98,0.075,1529.5,22.94,0.001765,,
Tier 2,Freiburg,4200,10,3,1150,11500,4200.0,0.0,7300.0,36.52,100.0,346.5,14950,2030.5,7.36,7625.89,0.087,1596.0,23.94,0.001601,0.625,12.0
Tier 2,Freiburg,4200,10,5,1150,11500,4200.0,0.0,7300.0,36.52,100.0,577.5,16250,2017.5,8.05,6181.35,0.094,1596.0,23.94,0.001473,0.625,12.0
Tier 2,Freiburg,4200,10,8,1150,11500,4200.0,0.0,7300.0,36.52,100.0,924.0,18200,1998.0,9.11,4014.54,0.106,1596.0,23.94,0.001315,0.625,12.0
Tier 2,Freiburg,4200,10,10,1150,11500,4200.0,0.0,7300.0,36.52,100.0,1155.0,19500,1985.0,9.82,2570.0,0.113,1596.0,23.94,0.001228,0.625,12.0
Tier 2,Freiburg,4200,10,12,1150,11500,4200.0,0.0,7300.0,36.52,100.0,1386.0,20800,1972.0,10.55,1125.46,0.121,1596.0,23.94,0.001151,0.625,12.0
Tier 2,Freiburg,5000,3,0,1150,3450,1207.5,3792.5,2242.5,35.0,24.15,0.0,3900,599.25,6.51,2762.69,0.075,458.85,6.88,0.001765,,
Tier 2,Freiburg,5000,3,3,1150,3450,1621.5,3378.5,1828.5,47.0,32.43,346.5,5850,703.95,8.31,1976.79,0.113,616.17,9.24,0.00158,0.625,12.0
Tier 2,Freiburg,5000,3,5,1150,3450,1897.5,3102.5,1552.5,55.0,37.95,577.5,7150,773.75,9.24,1452.85,0.138,721.05,10.82,0.001513,0.625,12.0
Tier 2,Freiburg,5000,3,8,1150,3450,2311.5,2688.5,1138.5,67.0,46.23,924.0,9100,878.45,10.36,666.95,0.176,878.37,13.18,0.001448,0.625,12.0
Tier 2,Freiburg,5000,3,10,1150,3450,2415.0,2585.0,1035.0,70.0,48.3,1155.0,10400,896.5,11.6,-432.37,0.201,917.7,13.77,0.001324,0.625,12.0
Tier 2,Freiburg,5000,3,12,1150,3450,2415.0,2585.0,1035.0,70.0,48.3,1386.0,11700,883.5,13.24,-1876.9,0.226,917.7,13.77,0.001177,0.625,12.0
Tier 2,Freiburg,5000,5,0,1150,5750,2012.5,2987.5,3737.5,35.0,40.25,0.0,6500,998.75,6.51,4604.49,0.075,764.75,11.47,0.001765,,
Tier 2,Freiburg,5000,5,3,1150,5750,2702.5,2297.5,3047.5,47.0,54.05,346.5,8450,1186.25,7.12,4739.19,0.098,1026.95,15.4,0.001823,0.625,12.0
Tier 2,Freiburg,5000,5,5,1150,5750,3162.5,1837.5,2587.5,55.0,63.25,577.5,9750,1311.25,7.44,4828.99,0.113,1201.75,18.03,0.001849,0.625,12.0
Tier 2,Freiburg,5000,5,8,1150,5750,3852.5,1147.5,1897.5,67.0,77.05,924.0,11700,1498.75,7.81,4963.68,0.136,1463.95,21.96,0.001877,0.625,12.0
Tier 2,Freiburg,5000,5,10,1150,5750,4025.0,975.0,1725.0,70.0,80.5,1155.0,13000,1537.5,8.46,4094.52,0.151,1529.5,22.94,0.001765,0.625,12.0
Tier 2,Freiburg,5000,5,12,1150,5750,4025.0,975.0,1725.0,70.0,80.5,1386.0,14300,1524.5,9.38,2649.98,0.166,1529.5,22.94,0.001604,0.625,12.0
Tier 2,Freiburg,5000,7,0,1150,8050,2817.5,2182.5,5232.5,35.0,56.35,0.0,9100,1398.25,6.51,6446.29,0.075,1070.65,16.06,0.001765,,
Tier 2,Freiburg,5000,7,3,1150,8050,3783.5,1216.5,4266.5,47.0,75.67,346.5,11050,1668.55,6.62,7501.59,0.092,1437.73,21.57,0.001952,0.625,12.0
Tier 2,Freiburg,5000,7,5,1150,8050,4427.5,572.5,3622.5,55.0,88.55,577.5,12350,1848.75,6.68,8205.12,0.102,1682.45,25.24,0.002043,0.625,12.0
Tier 2,Freiburg,5000,7,8,1150,8050,5000.0,0.0,3050.0,62.11,100.0,924.0,14300,2001.0,7.15,7947.89,0.118,1900.0,28.5,0.001993,0.625,12.0
Tier 2,Freiburg,5000,7,10,1150,8050,5000.0,0.0,3050.0,62.11,100.0,1155.0,15600,1988.0,7.85,6503.35,0.129,1900.0,28.5,0.001827,0.625,12.0
Tier 2,Freiburg,5000,7,12,1150,8050,5000.0,0.0,3050.0,62.11,100.0,1386.0,16900,1975.0,8.56,5058.82,0.14,1900.0,28.5,0.001686,0.625,12.0
Tier 2,Freiburg,5000,10,0,1150,11500,4025.0,975.0,7475.0,35.0,80.5,0.0,13000,1997.5,6.51,9208.98,0.075,1529.5,22.94,0.001765,,
Tier 2,Freiburg,5000,10,3,1150,11500,5000.0,0.0,6500.0,43.48,100.0,346.5,14950,2270.5,6.58,10294.3,0.087,1900.0,28.5,0.001906,0.625,12.0
Tier 2,Freiburg,5000,10,5,1150,11500,5000.0,0.0,6500.0,43.48,100.0,577.5,16250,2257.5,7.2,8849.76,0.094,1900.0,28.5,0.001754,0.625,12.0
Tier 2,Freiburg,5000,10,8,1150,11500,5000.0,0.0,6500.0,43.48,100.0,924.0,18200,2238.0,8.13,6682.95,0.106,1900.0,28.5,0.001566,0.625,12.0
Tier 2,Freiburg,5000,10,10,1150,11500,5000.0,0.0,6500.0,43.48,100.0,1155.0,19500,2225.0,8.76,5238.41,0.113,1900.0,28.5,0.001462,0.625,12.0
Tier 2,Freiburg,5000,10,12,1150,11500,5000.0,0.0,6500.0,43.48,100.0,1386.0,20800,2212.0,9.4,3793.87,0.121,1900.0,28.5,0.00137,0.625,12.0
Tier 2,Leipzig,3500,3,0,1000,3000,1050.0,2450.0,1950.0,35.0,30.0,0.0,3900,516.0,7.56,1837.09,0.087,399.0,5.99,0.001535,,
Tier 2,Leipzig,3500,3,3,1000,3000,1410.0,2090.0,1590.0,47.0,40.29,330.0,5850,604.5,9.68,871.07,0.13,535.8,8.04,0.001374,0.625,12.0
Tier 2,Leipzig,3500,3,5,1000,3000,1650.0,1850.0,1350.0,55.0,47.14,550.0,7150,663.5,10.78,227.05,0.159,627.0,9.41,0.001315,0.625,12.0
Tier 2,Leipzig,3500,3,8,1000,3000,2010.0,1490.0,990.0,67.0,57.43,880.0,9100,752.0,12.1,-738.97,0.202,763.8,11.46,0.001259,0.625,12.0
Tier 2,Leipzig,3500,3,10,1000,3000,2100.0,1400.0,900.0,70.0,60.0,1100.0,10400,766.0,13.58,-1883.32,0.231,798.0,11.97,0.001151,0.625,12.0
Tier 2,Leipzig,3500,3,12,1000,3000,2100.0,1400.0,900.0,70.0,60.0,1320.0,11700,753.0,15.54,-3327.85,0.26,798.0,11.97,0.001023,0.625,12.0
Tier 2,Leipzig,3500,5,0,1000,5000,1750.0,1750.0,3250.0,35.0,50.0,0.0,6500,860.0,7.56,3061.81,0.087,665.0,9.97,0.001535,,
Tier 2,Leipzig,3500,5,3,1000,5000,2350.0,1150.0,2650.0,47.0,67.14,330.0,8450,1020.5,8.28,2896.31,0.113,893.0,13.39,0.001585,0.625,12.0
Tier 2,Leipzig,3500,5,5,1000,5000,2750.0,750.0,2250.0,55.0,78.57,550.0,9750,1127.5,8.65,2785.98,0.13,1045.0,15.68,0.001608,0.625,12.0
Tier 2,Leipzig,3500,5,8,1000,5000,3350.0,150.0,1650.0,67.0,95.71,880.0,11700,1288.0,9.08,2620.48,0.156,1273.0,19.09,0.001632,0.625,12.0
Tier 2,Leipzig,3500,5,10,1000,5000,3500.0,0.0,1500.0,70.0,100.0,1100.0,13000,1320.0,9.85,1676.27,0.173,1330.0,19.95,0.001535,0.625,12.0
Tier 2,Leipzig,3500,5,12,1000,5000,3500.0,0.0,1500.0,70.0,100.0,1320.0,14300,1307.0,10.94,231.73,0.191,1330.0,19.95,0.001395,0.625,12.0
Tier 2,Leipzig,3500,7,0,1000,7000,2450.0,1050.0,4550.0,35.0,70.0,0.0,9100,1204.0,7.56,4286.54,0.087,931.0,13.96,0.001535,,
Tier 2,Leipzig,3500,7,3,1000,7000,3290.0,210.0,3710.0,47.0,94.0,330.0,11050,1436.5,7.69,4921.56,0.105,1250.2,18.75,0.001697,0.625,12.0
Tier 2,Leipzig,3500,7,5,1000,7000,3500.0,0.0,3500.0,50.0,100.0,550.0,12350,1486.5,8.31,4177.48,0.118,1330.0,19.95,0.001615,0.625,12.0
Tier 2,Leipzig,3500,7,8,1000,7000,3500.0,0.0,3500.0,50.0,100.0,880.0,14300,1467.0,9.75,2010.67,0.136,1330.0,19.95,0.001395,0.625,12.0
Tier 2,Leipzig,3500,7,10,1000,7000,3500.0,0.0,3500.0,50.0,100.0,1100.0,15600,1454.0,10.73,566.14,0.149,1330.0,19.95,0.001279,0.625,12.0
Tier 2,Leipzig,3500,7,12,1000,7000,3500.0,0.0,3500.0,50.0,100.0,1320.0,16900,1441.0,11.73,-878.4,0.161,1330.0,19.95,0.00118,0.625,12.0
Tier 2,Leipzig,3500,10,0,1000,10000,3500.0,0.0,6500.0,35.0,100.0,0.0,13000,1720.0,7.56,6123.63,0.087,1330.0,19.95,0.001535,,
Tier 2,Leipzig,3500,10,3,1000,10000,3500.0,0.0,6500.0,35.0,100.0,330.0,14950,1700.5,8.79,3956.82,0.1,1330.0,19.95,0.001334,0.625,12.0
Tier 2,Leipzig,3500,10,5,1000,10000,3500.0,0.0,6500.0,35.0,100.0,550.0,16250,1687.5,9.63,2512.28,0.108,1330.0,19.95,0.001228,0.625,12.0
Tier 2,Leipzig,3500,10,8,1000,10000,3500.0,0.0,6500.0,35.0,100.0,880.0,18200,1668.0,10.91,345.47,0.121,1330.0,19.95,0.001096,0.625,12.0
Tier 2,Leipzig,3500,10,10,1000,10000,3500.0,0.0,6500.0,35.0,100.0,1100.0,19500,1655.0,11.78,-1099.07,0.13,1330.0,19.95,0.001023,0.625,12.0
Tier 2,Leipzig,3500,10,12,1000,10000,3500.0,0.0,6500.0,35.0,100.0,1320.0,20800,1642.0,12.67,-2543.61,0.139,1330.0,19.95,0.000959,0.625,12.0
Tier 2,Leipzig,4200,3,0,1000,3000,1050.0,3150.0,1950.0,35.0,25.0,0.0,3900,516.0,7.56,1837.09,0.087,399.0,5.99,0.001535,,
Tier 2,Leipzig,4200,3,3,1000,3000,1410.0,2790.0,1590.0,47.0,33.57,330.0,5850,604.5,9.68,871.07,0.13,535.8,8.04,0.001374,0.625,12.0
Tier 2,Leipzig,4200,3,5,1000,3000,1650.0,2550.0,1350.0,55.0,39.29,550.0,7150,663.5,10.78,227.05,0.159,627.0,9.41,0.001315,0.625,12.0
Tier 2,Leipzig,4200,3,8,1000,3000,2010.0,2190.0,990.0,67.0,47.86,880.0,9100,752.0,12.1,-738.97,0.202,763.8,11.46,0.001259,0.625,12.0
Tier 2,Leipzig,4200,3,10,1000,3000,2100.0,2100.0,900.0,70.0,50.0,1100.0,10400,766.0,13.58,-1883.32,0.231,798.0,11.97,0.001151,0.625,12.0
Tier 2,Leipzig,4200,3,12,1000,3000,2100.0,2100.0,900.0,70.0,50.0,1320.0,11700,753.0,15.54,-3327.85,0.26,798.0,11.97,0.001023,0.625,12.0
Tier 2,Leipzig,4200,5,0,1000,5000,1750.0,2450.0,3250.0,35.0,41.67,0.0,6500,860.0,7.56,3061.81,0.087,665.0,9.97,0.001535,,
Tier 2,Leipzig,4200,5,3,1000,5000,2350.0,1850.0,2650.0,47.0,55.95,330.0,8450,1020.5,8.28,2896.31,0.113,893.0,13.39,0.001585,0.625,12.0
Tier 2,Leipzig,4200,5,5,1000,5000,2750.0,1450.0,2250.0,55.0,65.48,550.0,9750,1127.5,8.65,2785.98,0.13,1045.0,15.68,0.001608,0.625,12.0
Tier 2,Leipzig,4200,5,8,1000,5000,3350.0,850.0,1650.0,67.0,79.76,880.0,11700,1288.0,9.08,2620.48,0.156,1273.0,19.09,0.001632,0.625,12.0
Tier 2,Leipzig,4200,5,10,1000,5000,3500.0,700.0,1500.0,70.0,83.33,1100.0,13000,1320.0,9.85,1676.27,0.173,1330.0,19.95,0.001535,0.625,12.0
Tier 2,Leipzig,4200,5,12,1000,5000,3500.0,700.0,1500.0,70.0,83.33,1320.0,14300,1307.0,10.94,231.73,0.191,1330.0,19.95,0.001395,0.625,12.0
Tier 2,Leipzig,4200,7,0,1000,7000,2450.0,1750.0,4550.0,35.0,58.33,0.0,9100,1204.0,7.56,4286.54,0.087,931.0,13.96,0.001535,,
Tier 2,Leipzig,4200,7,3,1000,7000,3290.0,910.0,3710.0,47.0,78.33,330.0,11050,1436.5,7.69,4921.56,0.105,1250.2,18.75,0.001697,0.625,12.0
Tier 2,Leipzig,4200,7,5,1000,7000,3850.0,350.0,3150.0,55.0,91.67,550.0,12350,1591.5,7.76,5344.91,0.118,1463.0,21.95,0.001777,0.625,12.0
Tier 2,Leipzig,4200,7,8,1000,7000,4200.0,0.0,2800.0,60.0,100.0,880.0,14300,1677.0,8.53,4345.54,0.136,1596.0,23.94,0.001674,0.625,12.0
Tier 2,Leipzig,4200,7,10,1000,7000,4200.0,0.0,2800.0,60.0,100.0,1100.0,15600,1664.0,9.38,2901.0,0.149,1596.0,23.94,0.001535,0.625,12.0
Tier 2,Leipzig,4200,7,12,1000,7000,4200.0,0.0,2800.0,60.0,100.0,1320.0,16900,1651.0,10.24,1456.46,0.161,1596.0,23.94,0.001417,0.625,12.0
Tier 2,Leipzig,4200,10,0,1000,10000,3500.0,700.0,6500.0,35.0,83.33,0.0,13000,1720.0,7.56,6123.63,0.087,1330.0,19.95,0.001535,,
Tier 2,Leipzig,4200,10,3,1000,10000,4200.0,0.0,5800.0,42.0,100.0,330.0,14950,1910.5,7.83,6291.68,0.1,1596.0,23.94,0.001601,0.625,12.0
Tier 2,Leipzig,4200,10,5,1000,10000,4200.0,0.0,5800.0,42.0,100.0,550.0,16250,1897.5,8.56,4847.14,0.108,1596.0,23.94,0.001473,0.625,12.0
Tier 2,Leipzig,4200,10,8,1000,10000,4200.0,0.0,5800.0,42.0,100.0,880.0,18200,1878.0,9.69,2680.33,0.121,1596.0,23.94,0.001315,0.625,12.0
Tier 2,Leipzig,4200,10,10,1000,10000,4200.0,0.0,5800.0,42.0,100.0,1100.0,19500,1865.0,10.46,1235.79,0.13,1596.0,23.94,0.001228,0.625,12.0
Tier 2,Leipzig,4200,10,12,1000,10000,4200.0,0.0,5800.0,42.0,100.0,1320.0,20800,1852.0,11.23,-208.75,0.139,1596.0,23.94,0.001151,0.625,12.0
Tier 2,Leipzig,5000,3,0,1000,3000,1050.0,3950.0,1950.0,35.0,21.0,0.0,3900,516.0,7.56,1837.09,0.087,399.0,5.99,0.001535,,
Tier 2,Leipzig,5000,3,3,1000,3000,1410.0,3590.0,1590.0,47.0,28.2,330.0,5850,604.5,9.68,871.07,0.13,535.8,8.04,0.001374,0.625,12.0
Tier 2,Leipzig,5000,3,5,1000,3000,1650.0,3350.0,1350.0,55.0,33.0,550.0,7150,663.5,10.78,227.05,0.159,627.0,9.41,0.001315,0.625,12.0
Tier 2,Leipzig,5000,3,8,1000,3000,2010.0,2990.0,990.0,67.0,40.2,880.0,9100,752.0,12.1,-738.97,0.202,763.8,11.46,0.001259,0.625,12.0
Tier 2,Leipzig,5000,3,10,1000,3000,2100.0,2900.0,900.0,70.0,42.0,1100.0,10400,766.0,13.58,-1883.32,0.231,798.0,11.97,0.001151,0.625,12.0
Tier 2,Leipzig,5000,3,12,1000,3000,2100.0,2900.0,900.0,70.0,42.0,1320.0,11700,753.0,15.54,-3327.85,0.26,798.0,11.97,0.001023,0.625,12.0
Tier 2,Leipzig,5000,5,0,1000,5000,1750.0,3250.0,3250.0,35.0,35.0,0.0,6500,860.0,7.56,3061.81,0.087,665.0,9.97,0.001535,,
Tier 2,Leipzig,5000,5,3,1000,5000,2350.0,2650.0,2650.0,47.0,47.0,330.0,8450,1020.5,8.28,2896.31,0.113,893.0,13.39,0.001585,0.625,12.0
